scenario_id,episode_index,seed,found,success,contact,found_step,remaining_steps
unknown_validation_m20_0001,0,1729,False,False,False,NA,NA
unknown_validation_m20_0002,1,1730,True,True,True,25,375
unknown_validation_m20_0003,2,1731,False,False,False,NA,NA
unknown_validation_m20_0004,3,1732,True,False,False,80,320
unknown_validation_m20_0005,4,1733,True,False,False,355,45
unknown_validation_m20_0006,5,1734,False,False,False,NA,NA
unknown_validation_m20_0007,6,1735,False,False,False,NA,NA
unknown_validation_m20_0008,7,1736,True,False,False,24,376
unknown_validation_m20_0009,8,1737,False,False,False,NA,NA
unknown_validation_m20_0010,9,1738,True,True,True,241,159
unknown_validation_m20_0011,10,1739,False,False,False,NA,NA
unknown_validation_m20_0012,11,1740,True,True,True,24,376
unknown_validation_m20_0013,12,1741,True,True,True,56,344
unknown_validation_m20_0014,13,1742,False,False,False,NA,NA
unknown_validation_m20_0015,14,1743,True,True,True,199,201
unknown_validation_m20_0016,15,1744,True,False,False,1,399
unknown_validation_m20_0017,16,1745,False,False,False,NA,NA
unknown_validation_m20_0018,17,1746,False,False,False,NA,NA
unknown_validation_m20_0019,18,1747,True,True,True,1,399
unknown_validation_m20_0020,19,1748,True,True,True,22,378
unknown_validation_m20_0021,20,1749,True,False,False,351,49
unknown_validation_m20_0022,21,1750,True,False,False,269,131
unknown_validation_m20_0023,22,1751,False,False,False,NA,NA
unknown_validation_m20_0024,23,1752,True,True,True,37,363
unknown_validation_m20_0025,24,1753,True,True,True,51,349
unknown_validation_m20_0026,25,1754,False,False,False,NA,NA
unknown_validation_m20_0027,26,1755,False,False,False,NA,NA
unknown_validation_m20_0028,27,1756,False,False,False,NA,NA
unknown_validation_m20_0029,28,1757,False,False,False,NA,NA
unknown_validation_m20_0030,29,1758,True,True,True,57,343
unknown_validation_m20_0031,30,1759,False,False,False,NA,NA
unknown_validation_m20_0032,31,1760,False,False,False,NA,NA
unknown_validation_m20_0033,32,1761,False,False,False,NA,NA
unknown_validation_m20_0034,33,1762,True,False,False,297,103
unknown_validation_m20_0035,34,1763,True,False,False,1,399
unknown_validation_m20_0036,35,1764,True,True,True,338,62
unknown_validation_m20_0037,36,1765,True,True,True,38,362
unknown_validation_m20_0038,37,1766,True,True,True,17,383
unknown_validation_m20_0039,38,1767,False,False,False,NA,NA
unknown_validation_m20_0040,39,1768,True,False,False,139,261
unknown_validation_m20_0041,40,1769,True,True,True,95,305
unknown_validation_m20_0042,41,1770,False,False,False,NA,NA
unknown_validation_m20_0043,42,1771,True,True,True,115,285
unknown_validation_m20_0044,43,1772,False,False,False,NA,NA
unknown_validation_m20_0045,44,1773,True,True,True,1,399
unknown_validation_m20_0046,45,1774,False,False,False,NA,NA
unknown_validation_m20_0047,46,1775,False,False,False,NA,NA
unknown_validation_m20_0048,47,1776,True,True,True,46,354
unknown_validation_m20_0049,48,1777,True,False,False,265,135
unknown_validation_m20_0050,49,1778,True,True,True,1,399
unknown_validation_m20_0051,50,1779,True,False,False,398,2
unknown_validation_m20_0052,51,1780,False,False,False,NA,NA
unknown_validation_m20_0053,52,1781,True,True,True,159,241
unknown_validation_m20_0054,53,1782,True,False,False,369,31
unknown_validation_m20_0055,54,1783,True,True,True,73,327
unknown_validation_m20_0056,55,1784,False,False,False,NA,NA
unknown_validation_m20_0057,56,1785,False,False,False,NA,NA
unknown_validation_m20_0058,57,1786,True,True,True,321,79
unknown_validation_m20_0059,58,1787,True,True,True,48,352
unknown_validation_m20_0060,59,1788,False,False,False,NA,NA
unknown_validation_m20_0061,60,1789,True,True,True,43,357
unknown_validation_m20_0062,61,1790,True,True,True,81,319
unknown_validation_m20_0063,62,1791,True,False,False,362,38
unknown_validation_m20_0064,63,1792,True,True,True,22,378
unknown_validation_m20_0065,64,1793,True,True,True,3,397
unknown_validation_m20_0066,65,1794,True,True,True,71,329
unknown_validation_m20_0067,66,1795,False,False,False,NA,NA
unknown_validation_m20_0068,67,1796,False,False,False,NA,NA
unknown_validation_m20_0069,68,1797,True,False,False,4,396
unknown_validation_m20_0070,69,1798,False,False,False,NA,NA
unknown_validation_m20_0071,70,1799,False,False,False,NA,NA
unknown_validation_m20_0072,71,1800,False,False,False,NA,NA
unknown_validation_m20_0073,72,1801,True,False,False,108,292
unknown_validation_m20_0074,73,1802,False,False,False,NA,NA
unknown_validation_m20_0075,74,1803,False,False,False,NA,NA
unknown_validation_m20_0076,75,1804,False,False,False,NA,NA
unknown_validation_m20_0077,76,1805,False,False,False,NA,NA
unknown_validation_m20_0078,77,1806,True,False,False,30,370
unknown_validation_m20_0079,78,1807,False,False,False,NA,NA
unknown_validation_m20_0080,79,1808,False,False,False,NA,NA
unknown_validation_m20_0081,80,1809,True,False,False,219,181
unknown_validation_m20_0082,81,1810,True,True,True,1,399
unknown_validation_m20_0083,82,1811,True,True,True,24,376
unknown_validation_m20_0084,83,1812,True,True,True,40,360
unknown_validation_m20_0085,84,1813,False,False,False,NA,NA
unknown_validation_m20_0086,85,1814,True,False,False,208,192
unknown_validation_m20_0087,86,1815,True,True,True,1,399
unknown_validation_m20_0088,87,1816,True,True,True,282,118
unknown_validation_m20_0089,88,1817,True,False,False,208,192
unknown_validation_m20_0090,89,1818,True,False,False,241,159
unknown_validation_m20_0091,90,1819,False,False,False,NA,NA
unknown_validation_m20_0092,91,1820,False,False,False,NA,NA
unknown_validation_m20_0093,92,1821,False,False,False,NA,NA
unknown_validation_m20_0094,93,1822,False,False,False,NA,NA
unknown_validation_m20_0095,94,1823,False,False,False,NA,NA
unknown_validation_m20_0096,95,1824,False,False,False,NA,NA
unknown_validation_m20_0097,96,1825,True,False,False,321,79
unknown_validation_m20_0098,97,1826,True,False,False,234,166
unknown_validation_m20_0099,98,1827,False,False,False,NA,NA
unknown_validation_m20_0100,99,1828,True,False,False,37,363
