scenario_id,episode_index,scenario_seed,found,success,contact,found_step,remaining_steps,executor_x_at_found,executor_y_at_found,executor_z_at_found,target_x_at_found,target_y_at_found,target_z_at_found,executor_target_distance_3d_at_found,executor_target_distance_xy_at_found,executor_target_abs_dz_at_found,target_speed_at_found,handoff_step,executor_received_target_step,handoff_delay_steps,executor_receive_delay,first_contact_step,found_to_contact_steps,source_handoff_delay,distance_source,handoff_step_source
unknown_validation_m20_0002,1,1730,True,True,True,25,375,NA,NA,NA,NA,NA,NA,9.173139941336656,NA,NA,NA,25,26,0,1,217,192,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0004,3,1732,True,False,False,80,320,NA,NA,NA,NA,NA,NA,6.4945215289407585,NA,NA,NA,80,81,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0005,4,1733,True,False,False,355,45,NA,NA,NA,NA,NA,NA,5.537329148199615,NA,NA,NA,355,356,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0008,7,1736,True,False,False,24,376,NA,NA,NA,NA,NA,NA,4.843445548474307,NA,NA,NA,24,25,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0010,9,1738,True,True,True,241,159,NA,NA,NA,NA,NA,NA,2.9278672572674536,NA,NA,NA,241,242,0,1,331,90,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0012,11,1740,True,True,True,24,376,NA,NA,NA,NA,NA,NA,9.43313568621558,NA,NA,NA,24,25,0,1,152,128,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0013,12,1741,True,True,True,56,344,NA,NA,NA,NA,NA,NA,3.415080560601673,NA,NA,NA,56,57,0,1,149,93,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0015,14,1743,True,True,True,199,201,NA,NA,NA,NA,NA,NA,7.204041021581582,NA,NA,NA,199,200,0,1,255,56,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0016,15,1744,True,False,False,1,399,NA,NA,NA,NA,NA,NA,9.301583944813641,NA,NA,NA,1,2,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0019,18,1747,True,True,True,1,399,NA,NA,NA,NA,NA,NA,18.5988903523373,NA,NA,NA,1,2,0,1,204,203,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0020,19,1748,True,True,True,22,378,NA,NA,NA,NA,NA,NA,4.80877176556799,NA,NA,NA,22,23,0,1,114,92,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0021,20,1749,True,False,False,351,49,NA,NA,NA,NA,NA,NA,11.147048195988416,NA,NA,NA,351,352,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0022,21,1750,True,False,False,269,131,NA,NA,NA,NA,NA,NA,10.861796921573768,NA,NA,NA,269,270,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0024,23,1752,True,True,True,37,363,NA,NA,NA,NA,NA,NA,6.507116383548367,NA,NA,NA,37,38,0,1,238,201,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0025,24,1753,True,True,True,51,349,NA,NA,NA,NA,NA,NA,11.209948294073486,NA,NA,NA,51,52,0,1,332,281,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0030,29,1758,True,True,True,57,343,NA,NA,NA,NA,NA,NA,8.086442184692217,NA,NA,NA,57,58,0,1,207,150,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0034,33,1762,True,False,False,297,103,NA,NA,NA,NA,NA,NA,9.691062959969134,NA,NA,NA,297,298,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0035,34,1763,True,False,False,1,399,NA,NA,NA,NA,NA,NA,10.160632667511875,NA,NA,NA,1,2,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0036,35,1764,True,True,True,338,62,NA,NA,NA,NA,NA,NA,3.5394875435676805,NA,NA,NA,338,339,0,1,372,34,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0037,36,1765,True,True,True,38,362,NA,NA,NA,NA,NA,NA,3.6779996090723825,NA,NA,NA,38,39,0,1,69,31,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0038,37,1766,True,True,True,17,383,NA,NA,NA,NA,NA,NA,7.102695990039201,NA,NA,NA,17,18,0,1,75,58,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
unknown_validation_m20_0040,39,1768,True,False,False,139,261,NA,NA,NA,NA,NA,NA,9.90999122521166,NA,NA,NA,139,140,0,1,NA,NA,1.0,executor_distance_to_target_at_found,derived_runtime_publish_equals_found
